report_file,spreadsheet_id,report_title,spreadsheet_name,match_score,excel_file
Report0037.py,1mPx2y3XvOGNCRoYPLTHv6Xb5kn4bQCt3Aii0zT7ZdUc,L2 switches worden gevoed,[RSA] L2 switches horen bij een asset die gevoed wordt,0.63,[RSA] L2 switches horen bij een asset die gevoed wordt.xlsx
Report0045.py,1WRzZGpDXwtjg0CYa54pQBeYPfosNqe1-4g5c_xKWvrM,Een BitumineuzeLaag heeft steeds een ligtOp relatie naar een Onderbouw,[RSA] BitumineuzeLaag LigtOp Onderbouw,0.63,[RSA] BitumineuzeLaag LigtOp Onderbouw.xlsx
Report0116.py,11tU64Fc9Xh1IIlmufZ5yJ9Q99Sw4oP1kzCO0LrMbOn0,"De naam van de assets (DNBHoogSpanning of DNBLaagSpanning, spreadsheet_name=",[RSA] De naam van de assets (DNBHoogSpanning of DNBLaagSpanning) is gelijk aan het eerste deel van het naampad van de installatie,0.64,[RSA] De naam van de assets (DNBHoogSpanning of DNBLaagSpanning) is gelijk aan het eerste deel van het naampad van de installatie.xlsx
Report0005.py,1daDivHkKfMRamwgpty9swGF4Kz68MBjJlSE5SR2GqFQ,Verkeersregelaars en TLCfiPoorten hebben een HoortBij relatie naar VRLegacy objecten,[RSA] VRLegacy Hoortbij relaties,0.65,[RSA] IP Netwerkelementen hebben een hoortbij relatie met een legacy element IP.xlsx
Report0006.py,1_yLv--qorkqbx5ym_qBUTxc6b7mOvdm5kD8SrWPkB5I,Wegkantkasten hebben een HoortBij relatie naar Kast objecten,[RSA] Kast HoortBij relaties,0.65,[RSA] VRI Wegkantkasten hebben een conforme naam.xlsx
Report0184.py,1tFLD_Ah9V3S6V3RcFsToEs7OWW5U26q6TIuOW5jLHrI,"Laagspanningsaansluiting (Legacy, spreadsheet_name=",[RSA] Laagspanningsaansluiting (Legacy) of Kast (Legacy) keuringsinfo,0.65,[RSA] Laagspanningsaansluiting (Legacy) of Kast (Legacy) keuringsinfo.xlsx
Report0025.py,1PwWn1E4VRsXRa8L7Lh0Pmjy1Z0ZKCoclDO0bvHx3EaY,Linken hebben een HoortBij relatie naar Pad objecten,[RSA] Linken HoortBij Pad,0.66,[RSA] Onderdelen moeten een HoortBij relatie hebben.xlsx
Report0026.py,18KfmYhpxc75ECyN54WFtKrG4Hdz6GPCXzH5i8Zi0144,Paden hebben een HoortBij relatie naar Zpad objecten,[RSA] Paden HoortBij Zpad,0.66,[RSA] Onderdelen moeten een HoortBij relatie hebben.xlsx
Report0013.py,1az4rh44wIf0KkILgQqV0iJeb47SbRW-dgq_DP3GDDeo,Stroomkringen hebben een Bevestiging relatie met een Laagspanningsbord,[RSA] Stroomkring Bevestiging relaties,0.67,[RSA] NNI Netwerkpoorten hebben een Sturing relatie met een NNI Netwerkpoort.xlsx
Report0031.py,1k5uUwLmf5IFVhftY7klBmylWtuEBwP8URjYPMcAB71w,Netwerkelementen met gebruik,[RSA] L2 Netwerkelementen hebben een HoortBij relatie met een L2AccesStructuur,0.67,[RSA] OTN Netwerkelement naamgeving.xlsx
Report0194.py,1P-6URGL4nQujCzeeuHq50GMLWYRpMCXaf9gjouYTLMU,"CabineControllers (Afstandsbewaking, spreadsheet_name=",[RSA] CabineControllers (Afstandsbewaking) hebben een (afgeleide) locatie,0.68,[RSA] CabineControllers (Afstandsbewaking) hebben een (afgeleide) locatie.xlsx
Report0009.py,1A4kata3Eg9fMjsUE8Za5XEtcF7JEm_-IftHhGz6SnJo,Omvormers hebben een Bevestiging relatie met een Behuizing,[RSA] Omvormer Bevestiging relaties,0.69,[RSA] Verkeersregelaars hebben een Bevestiging relatie naar een Wegkantkast.xlsx
Report0149.py,1e5IMxYTF7jpK7q-yYp2cHTWsQtd_1CIsOQjvluJL0XM,"Dubbele bomen (Limburg, spreadsheet_name=",[RSA] Dubbele bomen (Limburg),0.69,[RSA] Dubbele bomen (Limburg).xlsx
Report0060.py,1od9125ZSoFG6fGwvoS8CSCz-Bne4N8vVBXORjYhtjQY,Er zijn geen conflicten tussen EAN-nummers (dubbel EAN-nummer).,[RSA] Geen conflicten tussen EAN-nummers,0.7,[RSA] Geen conflicten tussen EAN-nummers.xlsx
Report0191.py,1zupt-USHoNmNI1xFuv5fkBNpiucbyH_19NnIOQ90sfk,"Laagspanningsgedeelte (Legacy, spreadsheet_name=",[RSA] Laagspanningsgedeelte (Legacy) keuringsinfo,0.7,[RSA] Laagspanningsgedeelte (Legacy) keuringsinfo.xlsx
Report0061.py,1M8NE8RxnEJdG-8suCjKOzh96O6pGUcfmFi83ePO3glc,Het EAN nummer van een DNBLaagspanning of DNBHoogspanning is geldig (checksum).,[RSA] Geldigheid EAN nummer DNBLaagspanning of DNBHoogspanning,0.71,[RSA] Geldigheid EAN nummer DNBLaagspanning of DNBHoogspanning.xlsx
Report0148.py,1UMM-nC9T5QyKKevPU6bRYjh70dTlFAkbJQKiJKiJ0Xg,"Dubbele bomen (Antwerpen, spreadsheet_name=",[RSA] Dubbele bomen (Antwerpen),0.71,[RSA] Dubbele bomen (Antwerpen).xlsx
Report0189.py,1cTynPJ7ufAiVPJzIAt9qufDR8Mba2nMeyTjgI2mqrgc,"Agent EMT_VHS (rol=toezichtsgroep, spreadsheet_name=",[RSA] Agent EMT_VHS (rol=toezichtsgroep) bevat geen assets (OTL),0.71,[RSA] Agent EMT_VHS (rol=toezichtsgroep) bevat geen assets (OTL).xlsx
Report0007.py,1NKB8J6is9xTrIrDcZAP_IraBqs65JhTpoCLDMaT881A,Camera's hebben een Sturing relatie met een Netwerkpoort of Omvormer,[RSA] Camera_s Sturing relaties,0.72,[RSA] NNI Netwerkpoorten hebben een Sturing relatie met een NNI Netwerkpoort.xlsx
Report0147.py,16Ge-0TnI9AsAv1bENiOX0E49FWS_sB7NmOL4Z4CXEJc,"Dubbele bomen (Vlaams-Brabant, spreadsheet_name=",[RSA] Dubbele bomen (Vlaams-Brabant),0.74,[RSA] Dubbele bomen (Vlaams-Brabant).xlsx
Report0154.py,16EmsvsSgwCXfJ7HXmVCXaFIw58yVoqVQReyWZV09xzc,"Dubbele Straatkolken (Limburg, spreadsheet_name=",[RSA] Dubbele Straatkolken (Limburg),0.74,[RSA] Dubbele Straatkolken (Limburg).xlsx
Report0145.py,1rqDPhMkGU1Y0gwOoJ6HHHaH055hu0DNSaAZOXp3896w,"Dubbele bomen (West-Vlaanderen, spreadsheet_name=",[RSA] Dubbele bomen (West-Vlaanderen),0.75,[RSA] Dubbele bomen (West-Vlaanderen).xlsx
Report0146.py,19vxyBuwy-JO3U3tCYNmrk2YXBEP8vO51oyGfvfb88sQ,"Dubbele bomen (Oost-Vlaanderen, spreadsheet_name=",[RSA] Dubbele bomen (Oost-Vlaanderen),0.75,[RSA] Dubbele bomen (Oost-Vlaanderen).xlsx
Report0016.py,16NJCwhrHnYuz6Z9leqGswfOR0bt7EdBK_GonPB-3y7o,Netwerkpoorten hebben een Bevestiging relatie met een Netwerkelement of een Netwerkkaart,[RSA] Netwerkpoort Bevestiging relaties,0.76,[RSA] NNI Netwerkpoorten hebben een Sturing relatie met een NNI Netwerkpoort.xlsx
Report0153.py,1Vjy4Krsw_kiW6pRtMCDAIOpPH6GhypkskrwZkq1jlZ4,"Dubbele Straatkolken (Antwerpen, spreadsheet_name=",[RSA] Dubbele Straatkolken (Antwerpen),0.76,[RSA] Dubbele Straatkolken (Antwerpen).xlsx
Report0017.py,1b2b1b2b1b2b1b2b1b2b1b2b1b2b1b2b1b2b1b2b1b2b,Netwerkelementen hebben een Bevestiging relatie met een Netwerkkaart,[RSA] Netwerkkaart Bevestiging relaties,0.77,
Report0030.py,1ZAZ8chzMbLEyGd-cbZM6S7Uw4aNOrBmAE1KWnbyvdK4,"Netwerkelementen hebben een (afgeleide, spreadsheet_name=",[RSA] Netwerkelementen hebben een (afgeleide) locatie,0.77,[RSA] Netwerkelementen hebben een (afgeleide) locatie.xlsx
Report0040.py,1WLXykE5pX9wiBqnSgJ1HTE8dtkjRydMxAnccLV3T1_U,DNBLaagspanning/DNBHoogspanning hebben een HoortBij relatie naar LS/HS respectievelijk,[RSA] DNBLaagspanning en DNBHoogspanning hebben een HoortBij naar legacy,0.78,[RSA] DNBLaagspanning en DNBHoogspanning hebben een HoortBij naar legacy.xlsx
Report0152.py,1kBvIwl4MPRmgd-E3sMma94FQqSy5wdp8wMIxWpyJCdI,"Dubbele Straatkolken (Vlaams-Brabant, spreadsheet_name=",[RSA] Dubbele Straatkolken (Vlaams-Brabant),0.78,[RSA] Dubbele Straatkolken (Vlaams-Brabant).xlsx
Report0193.py,1O3e83o3Aa-b0eW3xMBjCZoG6b5vNfY9PAXmeULjo1as,"SegmentControllers hebben een (afgeleide, spreadsheet_name=",[RSA] SegmentControllers hebben een (afgeleide) locatie,0.78,[RSA] SegmentControllers hebben een (afgeleide) locatie.xlsx
Report0081.py,1v7sqt0OumZ0rEhRVFTwnl_4vNoWj3G0QSsUTKHxSOaE,Verkeersregelaars hebben als naam een conforme installatienummer,[RSA] Verkeersregelaars hebben een conforme naam,0.79,[RSA] Verkeersregelaars hebben een conforme naam.xlsx
Report0150.py,1PYB4WZPlPb2C0pEmOF1oxSluWI5Rbo_oxZAjZfp0X28,"Dubbele Straatkolken (West-Vlaanderen, spreadsheet_name=",[RSA] Dubbele Straatkolken (West-Vlaanderen),0.79,[RSA] Dubbele Straatkolken (West-Vlaanderen).xlsx
Report0151.py,1HbiuP5UtGlgTFqd_lk14Uqsw8R9zoAxPHCWR83BeLis,"Dubbele Straatkolken (Oost-Vlaanderen, spreadsheet_name=",[RSA] Dubbele Straatkolken (Oost-Vlaanderen),0.79,[RSA] Dubbele Straatkolken (Oost-Vlaanderen).xlsx
Report0128.py,1037M4_aDq9pF3ntRZhClYEB_GZxAdz5b82qH5WaeZv0,Afstand tussen legacy en OTL-voorstelling van de asset,[RSA] Afstand tussen legacy en OTL-voorstelling van de asset _Mast_ is aanvaardbaar,0.82,[RSA] Afstand tussen legacy en OTL-voorstelling van de asset _Mast_ is aanvaardbaar.xlsx
Report0083.py,1KQU0DrpB-LmU-DNOSzshYSA14aRmeomYcMF1xTm2Zek,Verkeersregelaars hebben een voltage lampen die 42 of 230 is,[RSA] Verkeersregelaars hebben een voltage lampen,0.83,[RSA] Verkeersregelaars hebben een voltage lampen.xlsx
Report0188.py,1PvWx9ksfXI0iUemdm_tI0gs2t4EfhVQtZXsFf4M_cqs,"Toezichtsgroep EMT_VHS bevat geen assets (Legacy, spreadsheet_name=",[RSA] Toezichtsgroep EMT_VHS bevat geen assets (Legacy),0.83,[RSA] Toezichtsgroep EMT_VHS bevat geen assets (Legacy).xlsx
Report0035.py,1DfUOm6Z38BYR7R809wiUDNrd8Fj4O-dC59ylHn99iqE,"Bestekkoppelingen die bijna vervallen (komende 30 dagen, spreadsheet_name=",[RSA] Bestekkoppelingen die bijna vervallen (komende 30 dagen),0.85,[RSA] Bestekkoppelingen die bijna vervallen (komende 30 dagen).xlsx
Report0041.py,1_3NxUvqS6v_j9d7K4QzWBvN3ISveJ-poxW4_0XYEYFM,EnergiemeterDNB en ForfaitaireAansluiting hebben een HoortBij relatie naar een LS of HS,[RSA] EnergiemeterDNB en ForfaitaireAansluiting hebben een HoortBij naar legacy,0.85,[RSA] EnergiemeterDNB en ForfaitaireAansluiting hebben een HoortBij naar legacy.xlsx
Report0177.py,1sM-Xm7gCtXo9duBF-zcSmIOPja1B4cSzDibJpaJ7WOE,"Actieve assets met toestand verwijderd (zichtbaar in Elisa-Infra, spreadsheet_name=",[RSA] Actieve assets met toestand verwijderd (zichtbaar in Elisa-Infra),0.86,[RSA] Actieve assets met toestand verwijderd (zichtbaar in Elisa-Infra).xlsx
Report0190.py,1BI4q-FF97SAWPtvkDH6rVnNu1CBc3ddQp5bNfjZiO7U,"Toezichtsgroep en Schadebeheerder zijn tegengesteld (Legacy, spreadsheet_name=",[RSA] Toezichtsgroep en Schadebeheerder zijn tegengesteld (Legacy),0.86,[RSA] Toezichtsgroep en Schadebeheerder zijn tegengesteld (Legacy).xlsx
Report0086.py,1EJjhp70-7bbrHaTbqPuZdn86rrXw30TEUYns7Kvi1dQ,Verkeersregelaars hebben een ingevulde toestand,[RSA] Verkeersregelaars hebben een toestand,0.88,[RSA] Verkeersregelaars hebben een toestand.xlsx
Report0157.py,1CZFtjX0ANRfmEXc-6-ElJ-hgRuwY3FdHZBxeiJVKtxE,"Assets zonder geometrie gelinkt aan TV-Proximus Trafiroad (dossier: HVV.089; bestek: 2017-R3-043, spreadsheet_name=",[RSA] Assets zonder geometrie gelinkt aan TV-Proximus Trafiroad (dossier_ HVV.089_ bestek_ 2017-R3-043),0.88,[RSA] Assets zonder geometrie gelinkt aan TV-Proximus Trafiroad (dossier_ HVV.089_ bestek_ 2017-R3-043).xlsx
Report0137.py,1HBOnmY6Q7ed3zeRMVlVL7EC6S9PiMa6gv80AWcdrve8,"Bijhorende assets hebben een verschillende toezichtshouder (assettype = Signaalkabel, spreadsheet_name=",[RSA] Bijhorende assets hebben een verschillende toezichtshouder (assettype = Signaalkabel),0.89,[RSA] Bijhorende assets hebben een verschillende toezichtshouder (assettype = Signaalkabel).xlsx
Report0138.py,10k_HmpIGsBW1pISnZZrrI-PmIanxgyGG4c59J6V_YGs,"Bijhorende assets hebben een verschillende toezichtshouder (assettype = Voedingskabel, spreadsheet_name=",[RSA] Bijhorende assets hebben een verschillende toezichtshouder (assettype = Voedingskabel),0.89,[RSA] Bijhorende assets hebben een verschillende toezichtshouder (assettype = Voedingskabel).xlsx
Report0139.py,1unBJL8JSNflw3GCeHeZdhXyghZfo-llg7py5SmkvMMg,"Bijhorende assets hebben een verschillende toezichtshouder (assettype = Beschermbuis, spreadsheet_name=",[RSA] Bijhorende assets hebben een verschillende toezichtshouder (assettype = Beschermbuis),0.89,[RSA] Bijhorende assets hebben een verschillende toezichtshouder (assettype = Beschermbuis).xlsx
Report0140.py,1E2vu5AtwpnZbQeJY5sTWqEI8EYYJ6QdEh6yfjPaA-0Q,"Bijhorende assets hebben een verschillende toezichtshouder (assettype = WVLichtmast, spreadsheet_name=",[RSA] Bijhorende assets hebben een verschillende toezichtshouder (assettype = WVLichtmast),0.89,[RSA] Bijhorende assets hebben een verschillende toezichtshouder (assettype = WVLichtmast).xlsx
Report0141.py,1GVAhyNSqWLhnyCRoTiKnUJvJfRXLcfKLHSS8RtZ-ssM,"Bijhorende assets hebben een verschillende toezichtshouder (assettype = overige, spreadsheet_name=",[RSA] Bijhorende assets hebben een verschillende toezichtshouder (assettype = overige),0.89,[RSA] Bijhorende assets hebben een verschillende toezichtshouder (assettype = overige).xlsx
Report0085.py,11QZWCKGmGAkWWECLqtbuV4URFo3Gj4obrW4fMcEOT5s,Verkeersregelaars hebben een ingevulde theoretische levensduur,[RSA] Verkeersregelaars hebben een theoretische levensduur,0.91,[RSA] Verkeersregelaars hebben een theoretische levensduur.xlsx
Report0195.py,1xFCTQpOty0ur3Tgn-rYmHs4jonZkA5l794Neid1kaCw,Kast (Legacy) hebben een locatie,[RSA] Kast (Legacy) heeft een locatie,0.92,[RSA] Kast (Legacy) heeft een locatie.xlsx
Report0125.py,1FVilNqQXxNI0HB9Zu2Dc4e9McODPw-eDPeG0h3i0_x4,KabelnetToegang heeft een relatie met een andere asset,[RSA] KabelnetToegang heeft steeds een relatie met een andere asset,0.94,[RSA] KabelnetToegang heeft steeds een relatie met een andere asset.xlsx
Report0127.py,1miMzTSeLtpLlK61lijv1Fzh88xC4U9RKVmwZnMjmdPU,KabelnetBuis heeft een relatie met een andere asset,[RSA] KabelnetBuis heeft steeds een relatie met een andere asset,0.94,[RSA] KabelnetBuis heeft steeds een relatie met een andere asset.xlsx
Report0113.py,1QpiwBAmNRIi-GP4EDfIUxMI_LV-qMMnjwzzaYk-ZoBc,Dubbele geometrie - Galgpaal,[RSA] Dubbele geometrie_ Galgpaal,0.95,[RSA] Dubbele geometrie_ Galgpaal.xlsx
Report0187.py,1R4M4Q4dPXeEh4kvnu8sN_EcfX2DNdvV2VsU6kCuQA7k,Toezichtsgroepen bevatten geen Legacy-assets: AWV_EW_AN; AWV_EW_VB; AWV_EW_OW; AWV_EW_WV; AWV_EW_LB,[RSA] Toezichtsgroepen bevatten geen Legacy-assets_ AWV_EW_AN_ AWV_EW_VB_ AWV_EW_OW_ AWV_EW_WV_ AWV_EW_LB,0.95,[RSA] Toezichtsgroepen bevatten geen Legacy-assets_ AWV_EW_AN_ AWV_EW_VB_ AWV_EW_OW_ AWV_EW_WV_ AWV_EW_LB.xlsx
Report0155.py,19jhMsSzcxBHTjveVWMJWXRlKxYKlw1r0m5j5JSMfJ4k,LS/HS met Voedingsrelatie anders dan LS-Deel/HS-Deel,[RSA] LS_HS met Voedingsrelatie anders dan LS-Deel_HS-Deel,0.96,[RSA] LS_HS met Voedingsrelatie anders dan LS-Deel_HS-Deel.xlsx
Report0015.py,1GM6mBwfsLkEELjroSw-df6A2HXSQnOFAeudUzTybMQE,Camera's hebben een unieke naam,[RSA] Camera_s hebben een unieke naam,0.97,[RSA] Camera_s hebben een unieke naam.xlsx
Report0023.py,1jkBCSgtZ8jlwA-Ah62I17pVtybrqPZSreXgrC6kWKoQ,Camera's hebben een toezichter,[RSA] Camera_s hebben een toezichter,0.97,[RSA] Camera_s hebben een toezichter.xlsx
Report0107.py,1aUVoYhqKe1k4KwuAyNcfWXkH9uwj1Cls_ufH2j37gNg,Geometrie is geldig: in Vlaanderen gelegen,[RSA] Geometrie is geldig_ in Vlaanderen gelegen,0.98,[RSA] Geometrie is geldig_ in Vlaanderen gelegen.xlsx
Report0108.py,1glkACdbjMyh81DFyxuKpC1yNjDZeWjDH_kxAyw-TkY0,"Geometrie is geldig: enkelvoudig punt, lijn of vlak","[RSA] Geometrie is geldig_ enkelvoudig punt, lijn of vlak",0.98,"[RSA] Geometrie is geldig_ enkelvoudig punt, lijn of vlak.xlsx"
Report0109.py,1AmtcjAkh5H95O_lXtd4p_MHeoqFpQKQlIRfQk3MxGQ4,Geometrie is geldig: geen opeenvolgende punten,[RSA] Geometrie is geldig_ geen opeenvolgende punten,0.98,[RSA] Geometrie is geldig_ geen opeenvolgende punten.xlsx
Report0110.py,1s8IdTaTSo0tMNKU59hTj5SgrJFt3bTG1DbidwFrXIv0,Geometrie is geldig: Open Geospatial Consortium standaard,[RSA] Geometrie is geldig_ Open Geospatial Consortium standaard,0.98,[RSA] Geometrie is geldig_ Open Geospatial Consortium standaard.xlsx
Report0123.py,1gbwsmeKicH0_IJVfK05JD4RC93RkWa9zVUO1TEpLqxA,Geometrie is geldig: realistische grootte,[RSA] Geometrie is geldig_ realistische grootte,0.98,[RSA] Geometrie is geldig_ realistische grootte.xlsx
Report0120.py,1sBJEGOpcGfrjvBWGAkBU_vnWirsGwq2cL8faX3vdapI,Niet-verweven OTL-assets hebben alsnog een naampad.,[RSA] Niet-verweven OTL-assets hebben alsnog een naampad,0.99,[RSA] Niet-verweven OTL-assets hebben alsnog een naampad.xlsx
Report0131.py,1H2g6_SGcGPqRIDKxGavSQtZRFUCGpOddgvm6vJyxvEI,Geometrie Polygoon heeft 3 of meer identieke punten en is visueel een punt.,[RSA] Geometrie Polygoon heeft 3 of meer identieke punten en is visueel een punt,0.99,[RSA] Geometrie Polygoon heeft 3 of meer identieke punten en is visueel een punt.xlsx
Report0175.py,1qoXaCy5U2H-HloAHNojkuraN4Du1D0gWy6yr4nY2BjQ,SegmentControllers (SegC (OTL) - [HoortBij] - SegC (LGC)) hebben identieke serienummers.,[RSA] SegmentControllers (SegC (OTL) - [HoortBij] - SegC (LGC)) hebben identieke serienummers,0.99,[RSA] SegmentControllers (SegC (OTL) - [HoortBij] - SegC (LGC)) hebben identieke serienummers.xlsx
Report0176.py,1F9BXJrnr-hdoLnQ9L7UctGF16IyUQqlV7hRJzy1WlO0,"Dubbele assets op kruispunt: Galgpaal, Seinbrug, Boogpaal, Rechte Steun","[RSA] Dubbele assets op kruispunt_ Galgpaal, Seinbrug, Boogpaal, Rechte Steun",0.99,"[RSA] Dubbele assets op kruispunt_ Galgpaal, Seinbrug, Boogpaal, Rechte Steun.xlsx"
Report0200.py,1A0CqgpEDRN0Zdet0QFQM8T90VFTpQ6_qL2GqHc9i3J0,Assets hebben foutieve toezichters,[RSA] Assets hebben foutieve toezichters_,0.99,[RSA] Assets hebben foutieve toezichters_.xlsx
Report0219.py,1gUDGRCTpwUK-ygXBigM0Jeyo05RpbKhiGWsEzL0MWgk,Identieke (niet-unieke) EAN-nummers bij meerdere assets (assettypes: DNBLaagspanning en DNBHoogspanning),[RSA] Identieke (niet-unieke) EAN-nummers bij meerdere assets (assettypes_ DNBLaagspanning en DNBHoogspanning),0.99,[RSA] Identieke (niet-unieke) EAN-nummers bij meerdere assets (assettypes_ DNBLaagspanning en DNBHoogspanning).xlsx
Report0220.py,1ZLoygJt-wIiOLOcRtk8s1xDDAX-nrSpGvtSjEW99Lq0,EAN-nummer ontbreekt (assettypes: DNBLaagspanning en DNBHoogspanning),[RSA] EAN-nummer ontbreekt (assettypes_ DNBLaagspanning en DNBHoogspanning),0.99,[RSA] EAN-nummer ontbreekt (assettypes_ DNBLaagspanning en DNBHoogspanning).xlsx
Report0002.py,1C4OvyX6uQfe3eKa8A_ClsTfnmAcBy-45Q-18htdxHHM,TLCfipoorten hebben een sturingsrelatie naar een Verkeersregelaar,[RSA] TLCfipoorten hebben een sturingsrelatie naar een Verkeersregelaar,1,[RSA] TLCfipoorten hebben een sturingsrelatie naar een Verkeersregelaar.xlsx
Report0003.py,1tud5st23sWAKYxdtGUmNHS1Tt54GW31HwkJPaXYXrtE,Verkeersregelaars hebben een Bevestiging relatie naar een Wegkantkast,[RSA] Verkeersregelaars hebben een Bevestiging relatie naar een Wegkantkast,1,[RSA] Verkeersregelaars hebben een Bevestiging relatie naar een Wegkantkast.xlsx
Report0004.py,1aGZFPAeFgkQgU2XcrKhVKK1NPu-OEPuskPvWsnAyEYU,Verkeersregelaars hebben een unieke naam,[RSA] Verkeersregelaars hebben een unieke naam,1,[RSA] Verkeersregelaars hebben een unieke naam.xlsx
Report0032.py,1CNSGgZbARVwRzrMB5a2LrSz-HJblvzAGWODsPOFE1jo,Netwerkpoorten hebben een type,[RSA] Netwerkpoorten hebben een type,1,[RSA] Netwerkpoorten hebben een type.xlsx
Report0033.py,12urCVlUXm_KbNCrQS1MH5kVqNKak3n5DdQlAnk8mn9w,VLAN objecten hebben een HoortBij relatie met een L2AccesStructuur,[RSA] VLAN objecten hebben een HoortBij relatie met een L2AccesStructuur,1,[RSA] VLAN objecten hebben een HoortBij relatie met een L2AccesStructuur.xlsx
